BH1,Borehole,true depth,Fracture porosity
IG_BH01_HT001,BH01,130,2.03E-07
IG_BH01_HT013b,BH01,404,6.53E-07
IG_BH01_HT002,BH01,451.9,4.63E-07
IG_BH01_HT003,BH01,475,2.44E-07
IG_BH01_HT004,BH01,496,2.44E-07
IG_BH01_HT005,BH01,518,3.03E-07
IG_BH01_HT008,BH01,538,8.23E-07
IG_BH01_HT006,BH01,559,2.29E-07
IG_BH01_HT007,BH01,580,2.15E-07
IG_BH01_HT009,BH01,625.2,2.41E-06
IG_BH02_HT001,BH02,302.61,2.03E-07
IG_BH02_HT002,BH02,144.08,1.12E-06
IG_BH02_HT003,BH02,219.61,2.03E-07
IG_BH02_HT004,BH02,274.06,8.23E-07
IG_BH02_HT005,BH02,335.81,1.04E-07
IG_BH02_HT006,BH02,410.09,1.41E-07
IG_BH02_HT007,BH02,439.14,1.77E-07
IG_BH02_HT008,BH02,486.12,1.04E-07
IG_BH02_HT009,BH02,505.96,8.23E-08
IG_BH02_HT010,BH02,526.29,1.77E-07
IG_BH02_HT011,BH02,544.22,9.42E-08
IG_BH02_HT012,BH02,564.06,1.41E-07
IG_BH02_HT013,BH02,583.23,9.42E-07
IG_BH02_HT014,BH02,608.88,1.41E-06
IG_BH02_HT015,BH02,657.69,4.98E-07
IG_BH02_HT016,BH02,678.6,1.07E-07
IG_BH02_HT017,BH02,749.97,8.50E-08
IG_BH02_HT018,BH02,800.04,5.18E-08
IG_BH02_HT019,BH02,895.22,1.41E-07
IG_BH02_HT020,BH02,949.97,6.53E-08
IG_BH03_HT001,BH03,280.17,1.40E-07
IG_BH03_HT002,BH03,317.95,6.48E-08
IG_BH03_HT003,BH03,397.14,9.35E-08
IG_BH03_HT004,BH03,440.71,4.78E-08
IG_BH03_HT005a,BH03,500.47,4.90E-08
IG_BH03_HT005b,BH03,500.34,6.48E-08
IG_BH03_HT006,BH03,520.11,7.04E-08
IG_BH03_HT007,BH03,569.04,2.22E-07
IG_BH03_HT008,BH03,589.04,1.07E-07
IG_BH03_HT009,BH03,654.13,1.03E-07
IG_BH03_HT010,BH03,672.03,8.17E-08
IG_BH03_HT011,BH03,692.37,6.48E-08
IG_BH03_HT012,BH03,799.85,5.15E-08
IG_BH03_HT013,BH03,901.05,8.17E-08
IG_BH03_HT014,BH03,942.88,5.15E-07
IG_BH03_HT015,BH03,859.13,1.07E-07
IG_BH03_HT016,BH03,838.8,5.15E-08
IG_BH03_HT017,BH03,770.8,9.51E-08
IG_BH03_HT018,BH03,750.97,6.48E-08
IG_BH03_HT019,BH03,728.98,4.95E-08
IG_BH03_HT020,BH03,636.02,3.27E-08
IG_BH03_HT021,BH03,610.05,1.52E-07
IG_BH03_HT022,BH03,542.94,8.17E-08
IG_BH03_HT023,BH03,485.75,9.35E-08
IG_BH03_HT024,BH03,465.98,6.48E-08
IG_BH03_HT025,BH03,366.14,8.17E-08
IG_BH03_HT026,BH03,226.23,9.35E-08
IG_BH03_HT027,BH03,183.33,9.51E-08
IG_BH03_HT028,BH03,161.82,3.79E-07
IG_BH03_HT029,BH03,107.12,8.44E-07