SampleID,Borehole,true depth,K nom,Th nom,U nom,Pyrite
LG001,BH01,1.7,1.97,3.41,0.61,0.00009350
LG002,BH01,24.8,1.88,3.28,1.15,0.00003740
LG003,BH01,67.2,4.61,3.96,1.65,0.00007480
LG004,BH01,80.8,1.9,8.34,1.66,0.00001870
LG005,BH01,131.9,1.77,6.8,2.63,0.00003740
LG006,BH01,170.2,1.62,9.04,0.98,0.00003740
LG007,BH01,201.7,1.61,3.53,0.68,0.00005610
LG008,BH01,214.2,2.61,3.43,1.67,0.00005610
LG009,BH01,227.3,1.24,3.4,0.93,0.00007480
LG010,BH01,234.1,3.1,11.9,1.66,0.00005610
LG011,BH01,288.1,1.58,6.5,1.42,0.00583730
LG012,BH01,298.2,1.74,7.44,2.18,0.00087930
LG013,BH01,300,1.2,5.23,1.89,0.00420960
LG014,BH01,315.1,0.74,11.4,2.59,0.00011230
LG015,BH01,335.2,1.72,7.6,2.43,0.00005610
LG016,BH01,395.1,4.74,4.86,4.12,0.00016840
LG017,BH01,400.5,3.99,3.75,8.83,0.00056130
LG018,BH01,402.9,4.32,4.53,14.6,0.00011230
LG019,BH01,443.3,1.69,6.94,3.35,0.00005610
LG020,BH01,452.2,1.04,1.81,0.68,0.00005610
LG021,BH01,470.2,1.08,2,1.25,0.00005610
LG022,BH01,530,1.39,7.1,1.85,0.00005610
LG023,BH01,549.2,1.71,4.95,1.28,0.00003740
LG024,BH01,560.7,1.33,3.63,1.05,0.00005610
LG025,BH01,587.1,1.46,4.55,1.15,0.00007480
LG026,BH01,593.2,1.59,9.53,1.3,0.00007480
LG027,BH01,636.1,1.63,2.77,1.32,0.00005610
LG028,BH01,656.4,2.22,7.07,2.04,0.00177740
LG029,BH01,659.2,1.89,5.19,1.49,0.00005610
LG030,BH01,701.2,1.43,7.44,1.51,0.00009350
LG031,BH01,735.2,4.47,2.85,0.75,0.00005610
LG032,BH01,752.3,1.46,9.08,1.62,0.00007480
LG033,BH01,776.2,1.37,5.74,1.32,0.00011230
LG034,BH01,793,3.32,2.84,0.75,0.00005610
LG035,BH01,795.7,1.55,3.59,1.17,0.00009350
LG036,BH01,797.6,2.97,3.01,0.8,0.00005610
LG037,BH01,842.1,1.39,5.37,0.99,0.00011230
LG038,BH01,895.8,1.49,6.09,2.14,0.00005610
LG039,BH01,902.1,1.84,9.39,2.22,0.00132840
LG040,BH01,950.1,1.39,5.73,1.55,0.00009350
LG041,BH01,953.5,1.93,5.88,1.32,0.00005610
LG042,BH01,968.4,2.9,6.03,1.75,0.00011230
LG043,BH01,978.9,2,2.9,0.77,0.00005610
LG044,BH01,995.1,1.38,6.86,0.83,0.00005610
LG045,BH01,999.2,1.27,3.26,0.94,0.00009350
LG001,BH03,69.1,2.04,5.75,1.71,0.00003740
LG002,BH03,121.9,1.83,6.2,2.63,0.00007480
LG003,BH03,139.1,1.76,4.06,1.09,0.00005610
LG004,BH03,171.7,3.83,1.72,6.38,0.00003740
LG005,BH03,215.5,1.54,4.97,1.29,0.00011230
LG006,BH03,337,2.76,4.73,1.54,0.00005610
LG007,BH03,442.3,3.55,2.01,1.57,0.00007480
LG008,BH03,453.5,1.36,4.35,1.09,0.00009350
LG009,BH03,505.7,1.96,5.31,1.28,0.00005610
LG010,BH03,506.3,2.18,4.12,0.92,0.00011230
LG011,BH03,511.7,1.98,5.15,1.14,0.00005610
LG012,BH03,526.2,2.11,5.51,1.68,0.00003740
LG013,BH03,593.8,1.34,4.3,1.15,0.00014970
LG014,BH03,605.1,1.97,5.6,2.43,0.00005610
LG015,BH03,678.9,3.71,2.55,12.9,0.00018710
LG016,BH03,706.7,1.57,4.24,1.32,0.00011230
LG017,BH03,714.2,0.61,5.96,1.61,0.00013100
LG018,BH03,714.5,2.21,5.44,1.14,0.00037420
LG019,BH03,799.7,1.49,5.39,1.84,0.00011230
LG020,BH03,819.8,1.99,5.11,2.28,0.00007480
LG021,BH03,881.6,1.26,5.13,1.29,0.00028060
LG022,BH03,882.4,2.91,2.57,4.19,0.00101030
LG001,BH02,16.21,1.38,4.41,1.74,0.00005610
LG002,BH02,16.67,2.14,5.06,1.62,0.00005610
LG003,BH02,58.84,2.27,6.77,1.4,0.00005610
LG004,BH02,71.59,2.5,6.22,2.21,0.00005610
LG005,BH02,108.99,1.45,4.73,1.3,0.00007480
LG006,BH02,126.97,2.05,6.7,2.85,0.00003740
LG007,BH02,264.71,1.01,4.4,1.91,0.00005610
LG008,BH02,268.29,2.41,5.59,1.77,0.00005610
LG009,BH02,325.14,2.42,6.46,1.36,0.00003740
LG010,BH02,344.83,1.42,4.12,1,0.00007480
LG011,BH02,348.24,2.69,6.49,1.15,0.00005610
LG012,BH02,356.17,2.33,6.19,1.8,0.00003740
LG013,BH02,443.38,2.36,7.02,2.45,0.00026190
LG014,BH02,490.39,3.81,1.97,7.31,0.00001870
LG015,BH02,495.06,2.71,5.95,2.12,0.00125350
LG016,BH02,522.07,2.47,6.21,1.93,0.00005610
LG017,BH02,527.55,1.45,4.34,2.54,0.00005610
LG018,BH02,551.12,3.74,3.05,1.37,0.00005610
LG019,BH02,579.5,2.57,5.78,2.71,0.00005610
LG020,BH02,610.03,1.45,4.71,1.42,0.00003740
LG021,BH02,613.42,0.85,5.41,2.04,0.00007480
LG022,BH02,620.78,2.18,5.48,1.15,0.00003740
LG023,BH02,622.36,1.05,6.52,1.19,0.00005610
LG024,BH02,639.08,2.43,4.47,1.6,0.00005610
LG025,BH02,703.55,2.57,4.6,2.34,0.00001870
LG026,BH02,810.16,2.23,5.12,1.9,0.00041160